2018-03-05 13:29:43.223821
type=note_off	 note=54	 time=0
type=note_on	 note=59	 time=240
type=note_off	 note=55	 time=118
type=note_on	 note=60	 time=122
type=note_off	 note=59	 time=118
type=note_on	 note=62	 time=122
type=note_off	 note=60	 time=118
type=note_on	 note=60	 time=122
type=note_off	 note=62	 time=118
type=note_on	 note=59	 time=122
type=note_off	 note=60	 time=118
type=note_on	 note=55	 time=122
type=note_off	 note=59	 time=118
type=note_on	 note=59	 time=122
type=note_off	 note=55	 time=118
type=note_on	 note=60	 time=122
type=note_off	 note=59	 time=118
type=note_on	 note=62	 time=122
type=note_off	 note=60	 time=118
type=note_on	 note=60	 time=122
type=note_off	 note=62	 time=118
type=note_on	 note=59	 time=122
type=note_off	 note=60	 time=118
type=note_on	 note=55	 time=122
type=note_off	 note=59	 time=118
type=note_on	 note=59	 time=122
type=note_off	 note=55	 time=118
type=note_on	 note=62	 time=122
type=note_off	 note=59	 time=118
type=note_on	 note=59	 time=122
type=note_off	 note=62	 time=118
type=note_on	 note=48	 time=122
type=note_off	 note=59	 time=118
type=note_on	 note=55	 time=122
type=note_off	 note=48	 time=117
type=note_on	 note=59	 time=123
type=note_off	 note=55	 time=117
type=note_on	 note=60	 time=123
type=note_off	 note=59	 time=117
type=note_on	 note=59	 time=123
type=note_off	 note=60	 time=118
type=note_on	 note=55	 time=122
type=note_off	 note=59	 time=118
type=note_on	 note=48	 time=122
type=note_off	 note=55	 time=118
type=note_on	 note=55	 time=122
type=note_off	 note=48	 time=118
type=note_on	 note=59	 time=122
type=note_off	 note=55	 time=118
type=note_on	 note=60	 time=122
type=note_off	 note=59	 time=118
type=note_on	 note=59	 time=122
type=note_off	 note=60	 time=118
type=note_on	 note=55	 time=122
type=note_off	 note=59	 time=118
type=note_on	 note=48	 time=122
type=note_off	 note=55	 time=118
type=note_on	 note=55	 time=122
type=note_off	 note=48	 time=118
type=note_on	 note=59	 time=122
type=note_off	 note=55	 time=118
type=note_on	 note=55	 time=122
type=note_off	 note=59	 time=118
type=note_on	 note=50	 time=122
type=note_off	 note=55	 time=118
type=note_on	 note=55	 time=122
type=note_off	 note=50	 time=162
type=note_on	 note=57	 time=78
type=note_off	 note=55	 time=118
type=note_on	 note=59	 time=122
type=note_off	 note=57	 time=159
type=note_on	 note=57	 time=81
type=note_on	 note=55	 time=240
type=note_off	 note=59	 time=0
type=note_off	 note=57	 time=159
type=note_on	 note=50	 time=81
type=note_off	 note=55	 time=118
type=note_on	 note=55	 time=122
type=note_off	 note=50	 time=118
type=note_on	 note=57	 time=122
type=note_off	 note=55	 time=118
type=note_on	 note=59	 time=122
type=note_off	 note=57	 time=159
type=note_on	 note=57	 time=81
type=note_on	 note=55	 time=240
type=note_off	 note=59	 time=0
type=note_off	 note=57	 time=159
type=note_on	 note=50	 time=81
type=note_off	 note=55	 time=118
type=note_on	 note=55	 time=122
type=note_off	 note=50	 time=118
type=note_on	 note=59	 time=122
type=note_off	 note=55	 time=118
type=note_on	 note=55	 time=122
type=note_off	 note=59	 time=118
type=note_on	 note=52	 time=122
type=note_off	 note=55	 time=118
type=note_on	 note=55	 time=122
type=note_on	 note=59	 time=240
type=note_off	 note=52	 time=48
type=note_off	 note=55	 time=70
type=note_on	 note=60	 time=122
type=note_off	 note=59	 time=118
type=note_on	 note=59	 time=122
type=note_off	 note=60	 time=118
type=note_on	 note=55	 time=122
type=note_off	 note=59	 time=118
type=note_on	 note=52	 time=122
type=note_off	 note=55	 time=118
type=note_on	 note=55	 time=122
type=note_off	 note=52	 time=118
type=note_on	 note=59	 time=122
type=note_off	 note=55	 time=118
type=note_on	 note=60	 time=122
type=note_on	 note=59	 time=240
type=note_off	 note=59	 time=49
type=note_on	 note=55	 time=191
type=note_off	 note=60	 time=49
type=note_on	 note=52	 time=191
type=note_off	 note=59	 time=49
type=note_on	 note=55	 time=191
type=note_off	 note=55	 time=49
type=note_on	 note=59	 time=191
type=note_off	 note=52	 time=49
type=note_on	 note=55	 time=191
type=note_off	 note=55	 time=49
type=note_on	 note=57	 time=191
type=note_off	 note=59	 time=49
type=note_off	 note=55	 time=31
type=note_off	 note=57	 time=278
type=note_on	 note=60	 time=602
type=note_on	 note=64	 time=0
type=note_off	 note=60	 time=358
type=note_off	 note=64	 time=0
type=note_on	 note=59	 time=362
type=note_on	 note=62	 time=1200
type=note_on	 note=66	 time=0
type=note_off	 note=62	 time=358
type=note_off	 note=66	 time=0
type=note_off	 note=59	 time=242
type=note_on	 note=48	 time=360
type=note_on	 note=55	 time=240
type=note_off	 note=48	 time=118
type=note_on	 note=59	 time=122
type=note_off	 note=55	 time=118
type=note_on	 note=60	 time=122
type=note_off	 note=59	 time=118
type=note_on	 note=59	 time=122
type=note_off	 note=60	 time=118
type=note_on	 note=55	 time=122
type=note_off	 note=59	 time=118
type=note_on	 note=48	 time=122
type=note_off	 note=55	 time=118
type=note_on	 note=55	 time=122
type=note_off	 note=48	 time=118
type=note_on	 note=59	 time=122
type=note_off	 note=55	 time=118
type=note_on	 note=60	 time=122
type=note_off	 note=59	 time=118
type=note_on	 note=59	 time=122
type=note_off	 note=60	 time=118
type=note_on	 note=55	 time=122
type=note_off	 note=59	 time=118
type=note_on	 note=48	 time=122
type=note_off	 note=55	 time=118
type=note_on	 note=55	 time=122
type=note_off	 note=48	 time=118
type=note_on	 note=59	 time=122
type=note_off	 note=55	 time=118
type=note_on	 note=55	 time=122
type=note_off	 note=59	 time=118
type=note_on	 note=50	 time=122
type=note_off	 note=55	 time=118
type=note_on	 note=55	 time=122
type=note_on	 note=57	 time=240
type=note_off	 note=55	 time=118
type=note_on	 note=59	 time=122
type=note_off	 note=50	 time=0
type=note_off	 note=57	 time=159
type=note_on	 note=57	 time=81
type=note_on	 note=55	 time=240
type=note_off	 note=59	 time=0
type=note_off	 note=57	 time=159
type=note_on	 note=50	 time=81
type=note_off	 note=55	 time=118
type=note_on	 note=55	 time=122
type=note_off	 note=50	 time=118
type=note_on	 note=57	 time=122
type=note_off	 note=55	 time=118
type=note_on	 note=59	 time=122
type=note_off	 note=57	 time=159
type=note_on	 note=57	 time=81
type=note_on	 note=55	 time=240
type=note_off	 note=59	 time=0
type=note_off	 note=57	 time=159
type=note_on	 note=50	 time=81
type=note_off	 note=55	 time=117
type=note_on	 note=55	 time=123
type=note_off	 note=50	 time=117
type=note_on	 note=59	 time=123
type=note_off	 note=55	 time=117
type=note_on	 note=55	 time=123
type=note_off	 note=59	 time=118
type=note_on	 note=52	 time=122
type=note_off	 note=55	 time=118
type=note_on	 note=55	 time=122
type=note_off	 note=52	 time=118
type=note_on	 note=59	 time=122
type=note_off	 note=55	 time=118
type=note_on	 note=60	 time=122
type=note_off	 note=59	 time=159
type=note_on	 note=59	 time=81
type=note_on	 note=55	 time=240
type=note_off	 note=60	 time=0
type=note_off	 note=59	 time=159
type=note_on	 note=52	 time=81
type=note_off	 note=55	 time=118
type=note_on	 note=55	 time=122
type=note_off	 note=52	 time=118
type=note_on	 note=59	 time=122
type=note_off	 note=55	 time=118
type=note_on	 note=60	 time=122
type=note_off	 note=59	 time=159
type=note_on	 note=59	 time=81
type=note_on	 note=55	 time=240
type=note_off	 note=60	 time=0
type=note_off	 note=59	 time=159
type=note_on	 note=52	 time=81
type=note_off	 note=55	 time=118
type=note_on	 note=55	 time=122
